"phiId; phiName; phiDate; phiAkim; phiType; phiDes"
11; Parmenides; MÖ 515 - MÖ 460; Batı Felsefesi; Sokrates Öncesi Felsefe; Parmanides (Yunanca: Παρμενίδης), doğa filozoflarından sayılmakla birlikte, Antik Yunan felsefesinde rasyonalizm geleneğinin ilk filozoflarından biridir. Yalnızca düşünür olarak değil yasa koyucu ve devlet adamı olarak da rol oynadığı sanılmaktadır. Parmenides'e göre, evrende değişen hiçbir şey yoktur. Gerçeklik, yani Varlık, mutlak anlamda Bir'dir, kalıcıdır, süreklidir, yaratılmamıştır, yok edilemez, o ezeli ve ebedidir, onda hareket ve değişme yoktur. Heraklitos ile sürekli yaşadığı varlık ve evren hakkındaki tartışmalarıyla da ünlüdür.
12; Anaksagoras; MÖ 500 - MÖ 428; Batı Felsefesi; Antik Çağ Felsefesi; Anaksagoras (Grekçe: Ἀναξαγόρας, "meclisin efendisi (İngilizce: lord of the assembly)"), Klazomenai'lı olup, Sokrates öncesi düşünürlerden bir tanesidir. Ana madde ve ilk hareket ettirici neden öğretisi vardır. Küçük Asya'nın Pers İmparatorluğu'nun kontrolünde olduğu bir dönemde Klazomenai'de doğan Anaksagoras, Atina'ya geldi. Diogenes Laërtius ve Plutarch'a göre, daha sonraki yaşamında dinsizlikle suçlandı ve Lampsacus'a sürgüne gitti, Daha sonraki antik biyografi yazarları tarafından uydurulmadıysa, suçlamalar Perikles'le olan ilişkisi nedeniyle siyasi olabilir.
13; Alkmaiōn (Krotōnlu); MÖ 500; -; Sokrates Öncesi Felsefe; Krotōnlu Alkmaiōn (Eski Yunanca: Ἀλκμαίων Κροτωνιάτης, Latince: Alcmaeon Crotoniensis), MÖ 500'lerde yaşamış hekim ve filozoflardan biridir. Sokrates öncesi düşünürlerin arasında yer alır. Onun düşüncesinde insan ve hayvan arasındaki temel ayrılık insanın düşünce yapısından kaynaklanır. İnsanın düşünmesi hafıza, tasavvur ve bilgilerden meydana geliyordu ki, diğer biyolojik canlılarda olmayan bir niteliktir bu ona göre. Filozofluğunun yanı sıra hekimliğinin de bu düşüncelerinde etkisi olmuştur. Alkmaiōn'un bir başka önemli yanı ise, beynin, düşüncelerin temel maddesi ve insan algılayışının merkezi organı olduğunu tahmin etmiş ve öne sürmüş olmasıdır. Platon'un diyaloglarında ismi geçmektedir.
14; Leukippos; MÖ 500; Atomculuk; Sokrates Öncesi Felsefe; Leukippos (Yunanca: Λεύκιππος), MÖ 5. yüzyılda yaşamış Antik Yunan filozof. Atomculuk ile ilgili çalışma yapmış ve atomculuk teorisini geliştirmiştir. Ayrıca, maddelerin gözle görülemeyecek kadar küçük bileşenlerden oluştuğunu savunmuştur. Bu teoriyi, öğrencisi Demokritos daha da ayrıntılı olarak geliştirmiştir. Leukippos, büyük olasılıkla Milet'te doğmuştur, ancak Abdera ve Elea da olası doğum yerlerindendir.
15; Empedokles; MÖ 494 - MÖ 434; -; Sokrates Öncesi Felsefe; Empedokles (Yunanca: Έμπεδοκλής, MÖ 494-434), Sokrates öncesi düşünürlerden bir tanesidir. Sicilya'da bir Yunan kolonisi olan Agrigentum kentinin yurttaşıdır. Doğa düşünürlerinden biri olan Empedokles, kendinden önceki doğa düşünürlerinin temel öğe (arkhe) olarak belirlediği, su, ateş ve havaya, toprak öğesini de ekleyerek hepsini bir arada kullanan ilk düşünür olmuştur. Empedokles'e göre bu dört temel öğe, sevgi ve nefret (iticilik) gücü ile birleşip ayrılırlar. Bir başka deyişle sevgi ve nefret de, maddeyi meydana getiren temel ögelerdendir ve değişimleri açıklamak için kullanılmışlardır.
16; Elealı Zenon; MÖ 495 - MÖ 430; Diyalektik; Sokrates Öncesi Felsefe; Elealı Zenon veya Zeno (/ˈziːnoʊ ... ˈɛliə/, Grekçe: Ζήνων ὁ Ἐλεᾱ́της) Magna Graecia'nın Sokratik öncesi bir Yunan filozofu ve Parmenides tarafından kurulan Elea Okulu'nun bir üyesiydi. Aristo, onu diyalektiğin mucidi olarak adlandırdı. Bertrand Russell'ın "ölçülemez derecede incelikli ve derin" olarak tanımladığı paradokslarıyla tanınır. Zeno, hocası Parmenides'in Bir'ci anlayışını ve yalnızca Varlık'ın değişmez gerçek olduğunu öne süren görüşünü geliştirmiş, çokluk ve değişmenin gerçek olduğunu savunan karşıt görüşlerin tezlerine karşı mantıksal güçlükleri gözler önüne seren dolaylı kanıtlarla değişimin olanaksızlığını göstermeye çalışmış, ileri sürdüğü örneklemeleriyle felsefe tarihinde ün kazanmıştır. MÖ 490 - 430 yılları arasında yaşadığı rivâyet edilse de doğum ve ölüm tarihi kesin değildir.
17; Gorgias; MÖ 483 - MÖ 375; Nihilizim; Yunan Filozofu; Gorgias, Yunan filozof ve sofisti. Memleketi Sicilya'da bulunan bir Yunan kolonisi olan Leontini'dir.[2][3] Yunan filozofu Gorgias, ölü annesinin cenaze tabutunda doğmuştur. Tabutu taşıyanlar defnedilme sırasında Gorgias’ın ağlamalarını duymuşlardır. Pelaponez Savaşı (427) sırasında Atina'ya geldi. Hatip olarak tanınır oldu. Yazdıklarından çok az bir kısmı günümüze kalmıştır. Nihilizmin ve daha da çok kuşkucu düşüncenin gelişmesinde önemli bir filozof olarak yer almaktadır. Empedokles'in öğrencisi olmuştur ve ondan hem doğa felsefesini hem de hitabet sanatını öğrenmiştir. Bu sanattaki ustalığıyla Atina'da önemli etkilerde bulunmuş ve bu sanatın en önemli geliştiricilerinden biri olmuştur.
18; Filolaos; MÖ 470 - MÖ 385; Pisagorculuk; Sokrates Öncesi Düşünürler; Filolaos (/ˌfɪləˈleɪəs/, Grekçe: Φιλόλαος, Philólaos) Pisagorcu ve Sokrates öncesi bir Yunan filozof idi. Her şeyin temelinde, uyum içinde bir araya gelen, sınırlayıcı ve sınırsızın oynadığı rol olduğunu savundu. Ayrıca, Dünya'nın Evrenin merkezi olmadığı teorisi olan güneşmerkezciliğin ortaya çıkmasıyla da tanınır. Nicomachus'tan alıntı yapan August Böckh'e (1819) göre Philolaus, Pisagor'un halefiydi. MÖ 5. yüzyılda Pisagorcu okulun önemli filozoflarından biri olmuştur.
19; Prodikos; MÖ 465 - MÖ 399; Humanizm; Sokrates Öncesi Felsefe; Prodikos (ya da Prodicus), Yunan hümanist filozof ve Sofistlerin öncülerinden olan Sokrates öncesi düşünürlerden biridir. Prodikos Atina'ya temsilci göreviyle Keos adasından geldi ve orada öğretmen ve hatip olarak görevler yaptı. Protagoras'ın eğitimde retoriğe önem vermesinin yanında Prodicus etiğe önem verdi. Düşünüşünün pesimist bir boyutu vardı ve genel olarak yaşamın acılarını vurguluyordu. Öğrencileri arasında Theramenes, Euripides ve Isokrates yer almıştır. Platon'un diyaloglarında Prodikos alaysı bir şekilde gösterilir ve Aristophanes oyunlarında onunla dalga geçer.
20; Demokritos; MÖ 460 - MÖ 370; Materyalizm; Sokrates Öncesi Felsefe; Demokritos, Trakya'nın Abdera kentinde MÖ 460 civarında doğdu, ancak tam olarak hangi yıl olduğu hakkında anlaşmazlıklar vardır. Metinlerde sıklıkla birlikte bahsedildiği için, tam katkılarını akıl hocası Leucippus'un katkılarından ayırmak zordur. Leucippus'tan alınan atomlar hakkındaki kuramsal düşünceleri, bazılarının Demokritos'u diğer Yunan filozoflarından daha çok bir bilim insanı olarak görmesine neden olan 19. yüzyıl atomik yapı anlayışına geçici ve kısmi bir benzerlik taşır, ancak fikirleri çok farklı temellere dayanıyordu. Antik Atina'da büyük ölçüde görmezden gelinen Demokritos'un Platon tarafından o kadar beğenilmediği söylenir ki, Platon tüm kitaplarının yanmasını diledi. Yine de, kuzey doğumlu filozof Aristo tarafından iyi biliniyordu ve Protagoras'ın öğretmeniydi.
21; Antisthenes; MÖ 446 - MÖ 366; Yunan Felsefesi; -; Önce sofist filozof Gorgias'ın ve ardından da Sokrates'in öğrencisi olmuştur. Sokrates'ten sonra okulunu kurmuş ve felsefesinin örnek kişisi olarak Sokrates'i referans almıştır. Köpeksi anlamında olduğu belirtilen Kyon sözünden türetilmiş Kinik okulunun kurucusudur ve bu akımın önemli açılımlarını yapmıştır. Antisthenes'e göre önemli olan erdemdir ve erdem de bilgelikle elde edilebilen kendine yeterlilik durumudur. İnsan her tür gereksinimden kendini kurtararak, yalnızca kendi kendine dayanarak var olabilmelidir. Özgürlük bu anlamda gereksinimlerden kurtulmak, toplumsal bağları aşabilmektir. Antistenes'in felsefi düşünceleri bu anlamda uygarlık değerlerinin eleştirisini ve yadsınmasını içerir.
22; Platon; MÖ 428 - MÖ 348; Platonizm; Antik Yunan Felsefesi; Dünyada üniversite düzeyindeki ilk kurumlardan biri olan (ve bu kurumlara günümüzdeki adını veren) Akademi'nin kurucusu olan ve düşünce tarihinde bir dönüm noktası teşkil eden Platon, felsefe ve bilim tarihindeki pek çok tartışmanın temellerini atmış, Hristiyanlık ve İslam gibi pek çok dini de derinden etkilemiştir. Hocası Sokrates ve öğrencisi Aristoteles ile birlikte felsefe tarihinin en etkili ismidir ve iddialarının büyük bir kısmı bugün hâlâ önemini korumakta, tartışılmakta ve çoğu düşünceye katkıda bulunmaktadır. İngiliz matematikçi ve filozof Alfred North Whitehead "Avrupa felsefe geleneğiyle ilgili yapılabilecek en güvenilir genel nitelendirme Platon'a ait bir dizi dipnottan oluştuğudur" demiştir.
23; Arhitas; MÖ 428 - MÖ 347; -; Yunan Felsefesi; Archytas veya Tarantolu Arhitas (Yunanca: Ἀρχύτας ο Ταραντίνος), erken Pisagorcu geleneğin son önemli temsilcisi matematikçi, devlet adamı ve filozoftur. Taranto'da 7 kez art arda komutan seçilmiş nüfuzlu bir siyaset adamı ve Platon'un (Eflatun) arkadaşıdır. Pisagorcu filozoflar arasında yer alan ve Sokrates'ten sonra yaşamış olmasına rağmen Sokrates öncesi düşünürler içinde ismi yer edinmiş olan filozof. Pisagorcular evreni matematiksel bir dizgeyle açıklama eğilimde olmuşlar ve bu yönde bir tür sezgiciliğe ve mistisizme varmışlardır. Demokritos'un düşüncelerinin aksine Pisagorcular evreni madde ile bir sayma eğilimde olmuşlar ve duyumların yanıltıcılığını öne sürmüşlerdir.
24; Diyojen; MÖ 412 - MÖ 323; Sofizm; Antik Çağ Felsefesi; Diyojen (Yunanca: Διογένης ὁ Σινωπεύς Diogenes), MÖ 412 (ya da MÖ 404) - MÖ 323 yılları arasında yaşamış Kinik felsefesinin öncüsü ünlü filozoftur. Sinop'ta doğmuş Korint'de ölmüştür. Sinoplu Diyojen ve Kinik Diyojen olarak da bilinmektedir. Diyojen, medeniyeti reddetmiş ve medeniyet içerisinde medeniyetten uzak bir şekilde yaşamaya çalışmış bir antik çağ filozofudur. Sıklıkla 10.- 11. yüzyılda aynı bölgelerde yaşamış Bizans subayı, dönemin prensesi Evdoksia ile evlenerek imparator olan 1071 Malazgirt Meydan Muharebesi'nde Alparslan'a yenilen Romen Diyojen (IV. Romanos Diogenes) ile karıştırılmaktadır.
25; Knidoslu Eudoxus; MÖ 400 - MÖ 350; Yunan Felsefesi; -; Knidos'lu Eudoxus veya Knidoslu Eudoksos (/ˈjuːdəksəs/, Grekçe: Εὔδοξος ὁ Κνίδιος, Eúdoxos ho Knídios) antik bir Yunan astronomu, matematikçi, bilim insanı ve Archytas ile Platon'un öğrencisiydi. Hipparchus'un Aratus'un astronomi üzerine şiiriyle ilgili yorumunda bazı parçalar korunsa da tüm eserleri kaybolmuştur. Bithynialı Theodosius tarafından yazılan Sphaerics, Eudoxus'un bir çalışmasına dayanabilir.







